source,target,role,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,kind
plane,flight,flownBy,A plane is flown by flights ,A plane is assigned to a flight containing a set of numbered seats.,FALSE,TRUE,FALSE,inconclusive,association
flight,plane,flights,A flight has  a flight which is a plane,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,FALSE,inconclusive,association
order,seat,seats,A order has a seat,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,TRUE,FALSE,wrong,association
seat,order,myOrder,A seat can have orders ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,TRUE,FALSE,inconclusive,association
order,seat,myOrder,A order can have orders which are seats,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,inconclusive,association
seat,order,seats,A seat has  a seat which is an order,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,inconclusive,association
order,flight,flights,A order has a flight,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,TRUE,FALSE,wrong,association
flight,order,myOrder,A flight can have orders ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,inconclusive,association
order,flight,myOrder,A order can have orders which are flights,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,FALSE,inconclusive,association
flight,order,flights,A flight has  a flight which is an order,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,FALSE,inconclusive,association
customer,order,makes,A customer makes orders ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,inconclusive,association
order,customer,madeBy,A order is made by customers ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,TRUE,FALSE,wrong,association
customer,order,madeBy,A customer is made by orders ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,inconclusive,association
order,customer,makes,A order makes a customer,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,inconclusive,association
airport,hotel,nearbyHotels,A airport can have nearby hotels ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,TRUE,FALSE,wrong,association
hotel,airport,myAirport,A hotel can have airports ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,inconclusive,association
airport,hotel,myAirport,A airport can have airports which are hotels,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,inconclusive,association
hotel,airport,nearbyHotels,A hotel has a a nearby hotel which is an airport,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,TRUE,FALSE,wrong,association
airport,restaurant,nearbyRestaurants,A airport can have nearby restaurants ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,TRUE,FALSE,wrong,association
restaurant,airport,myAirport,A restaurant can have airports ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,inconclusive,association
airport,restaurant,myAirport,A airport can have airports which are restaurants,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,inconclusive,association
restaurant,airport,nearbyRestaurants,A restaurant has  a nearby restaurant which is an airport,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,inconclusive,association
route,span,spans,A route has a span,A route includes one or more spans.,FALSE,TRUE,FALSE,wrong,association
span,route,myRoute,A span can have routes ,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,TRUE,FALSE,wrong,association
route,span,myRoute,A route can have routes which are spans,A route includes one or more spans.,FALSE,TRUE,FALSE,wrong,association
span,route,spans,A span has  a span which is a route,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,FALSE,FALSE,inconclusive,association
span,airport,origian,A span can have origians which are airports,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,TRUE,FALSE,wrong,association
airport,span,mySpan,A airport can have spans ,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,FALSE,inconclusive,association
span,airport,mySpan,A span has a a span which is an airport,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,TRUE,FALSE,wrong,association
airport,span,origian,A airport has an an origian which is a span,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,TRUE,FALSE,wrong,association
span,airport,destination,A span can have destinations which are airports,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,TRUE,FALSE,wrong,association
airport,span,mySpan1,A airport can have spans ,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,FALSE,inconclusive,association
span,airport,mySpan1,A span has a a span which is an airport,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,TRUE,FALSE,wrong,association
airport,span,destination,A airport has a a destination which is a span,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,inconclusive,association
plane,route,follows,A plane follows routes ,A route includes one or more spans.,FALSE,TRUE,FALSE,wrong,association
route,plane,myPlane,A route can have planes ,A route includes one or more spans.,FALSE,FALSE,FALSE,inconclusive,association
plane,route,myPlane,A plane can have planes which are routes,A route includes one or more spans.,FALSE,FALSE,FALSE,inconclusive,association
route,plane,follows,A route follows a plane,A route includes one or more spans.,FALSE,TRUE,FALSE,wrong,association
